TimeStamp,TimeStamp_ms,msgCnt,lat,long,elev,DroppedPacketCount
2019/10/21-14:30:04.522,1.57167E+12,74,42.2448712,-83.5566043,190,0
2019/10/21-14:30:04.619,1.57167E+12,75,42.2448712,-83.5566043,190,0
2019/10/21-14:30:04.726,1.57167E+12,76,42.2448712,-83.5566043,190,0
2019/10/21-14:30:04.820,1.57167E+12,77,42.2448712,-83.5566043,190,0
2019/10/21-14:30:04.937,1.57167E+12,78,42.2448712,-83.5566043,190,0
2019/10/21-14:30:05.021,1.57167E+12,79,42.2448712,-83.5566043,190,0
2019/10/21-14:30:05.129,1.57167E+12,80,42.2448712,-83.5566043,190,1
2019/10/21-14:30:05.340,1.57167E+12,82,42.2448712,-83.5566043,190,0
2019/10/21-14:30:05.434,1.57167E+12,83,42.2448712,-83.5566043,190,0
2019/10/21-14:30:05.525,1.57167E+12,84,42.2448712,-83.5566043,190,0
2019/10/21-14:30:05.630,1.57167E+12,85,42.2448712,-83.5566043,190,0
2019/10/21-14:30:05.727,1.57167E+12,86,42.2448712,-83.5566043,190,0
2019/10/21-14:30:05.838,1.57167E+12,87,42.2448712,-83.5566043,190,0
2019/10/21-14:30:05.935,1.57167E+12,88,42.2448712,-83.5566043,190,0
2019/10/21-14:30:06.036,1.57167E+12,89,42.2448712,-83.5566043,190,0
2019/10/21-14:30:06.142,1.57167E+12,90,42.2448712,-83.5566043,190,0
2019/10/21-14:30:06.232,1.57167E+12,91,42.2448712,-83.5566043,190,0
2019/10/21-14:30:06.326,1.57167E+12,92,42.2448712,-83.5566043,190,0
2019/10/21-14:30:06.429,1.57167E+12,93,42.2448712,-83.5566043,190,0
2019/10/21-14:30:06.531,1.57167E+12,94,42.2448712,-83.5566043,190,0
2019/10/21-14:30:06.633,1.57167E+12,95,42.2448712,-83.5566043,190,0
2019/10/21-14:30:06.740,1.57167E+12,96,42.2448712,-83.5566043,190,0
2019/10/21-14:30:06.837,1.57167E+12,97,42.2448712,-83.5566043,190,0
2019/10/21-14:30:06.930,1.57167E+12,98,42.2448712,-83.5566043,190,0
2019/10/21-14:30:07.027,1.57167E+12,99,42.2448712,-83.5566043,190,0
2019/10/21-14:30:07.127,1.57167E+12,100,42.2448712,-83.5566043,190,0
2019/10/21-14:30:07.237,1.57167E+12,101,42.2448712,-83.5566043,190,0
2019/10/21-14:30:07.335,1.57167E+12,102,42.2448712,-83.5566043,190,0
2019/10/21-14:30:07.432,1.57167E+12,103,42.2448712,-83.5566043,190,0
2019/10/21-14:30:07.529,1.57167E+12,104,42.2448712,-83.5566043,190,0
2019/10/21-14:30:07.631,1.57167E+12,105,42.2448712,-83.5566043,190,0
2019/10/21-14:30:07.736,1.57167E+12,106,42.2448712,-83.5566043,190,0
2019/10/21-14:30:07.840,1.57167E+12,107,42.2448712,-83.5566043,190,0
2019/10/21-14:30:07.938,1.57167E+12,108,42.2448712,-83.5566043,190,0
2019/10/21-14:30:08.031,1.57167E+12,109,42.2448712,-83.5566043,190,0
2019/10/21-14:30:08.134,1.57167E+12,110,42.2448712,-83.5566043,190,0
2019/10/21-14:30:08.239,1.57167E+12,111,42.2448712,-83.5566043,190,0
